IDENTIFIER,RESTAURANT_IDENTIFIER,DISHES_IDS,PAYMENT_METHOD,AMOUNT,CREATED_AT
98,16,"[43, 37, 76]",online,49.21,2024-03-15 07:50:10
99,14,"[88, 32]",cash,17.87,2024-11-01 22:25:20
100,18,"[45, 48, 64, 47]",online,46.56,2025-02-09 05:51:30
101,20,"[30, 25, 33, 52, 66]",voucher,51.76,2024-01-14 13:45:16
102,20,"[78, 79, 42, 52, 74]",card,55.26,2025-03-17 14:14:48
103,9,"[58, 18, 60]",voucher,24.58,2025-01-04 13:49:22
104,14,[82],card,7.37,2023-11-06 02:54:30
105,16,"[20, 59, 27, 19, 39]",card,50.44,2024-05-23 03:05:56
106,18,[84],cash,7.86,2024-11-09 03:44:12
107,12,"[35, 58]",card,16.0,2023-11-19 01:08:41
108,19,"[68, 18, 41]",voucher,18.55,2023-11-27 15:24:12
109,19,"[27, 43]",voucher,26.24,2025-03-16 14:14:42
110,14,"[66, 27, 65, 26]",cash,34.43,2025-04-19 06:40:47
111,15,"[30, 67, 81, 42, 90]",card,65.77,2023-08-25 01:00:50
112,20,"[89, 44, 27]",card,44.31,2025-03-15 11:16:24
113,12,"[82, 88, 23, 81]",voucher,36.57,2024-01-26 19:48:05
114,14,"[34, 25, 32, 63]",cash,46.27,2024-12-10 06:14:45
115,9,"[46, 60, 56, 44]",online,56.29,2023-10-07 02:57:34
116,16,"[76, 26]",cash,21.74,2024-02-05 09:24:47
117,17,"[37, 62, 64, 45]",cash,59.16,2024-07-09 04:19:31
118,18,"[73, 65, 69]",card,19.64,2024-04-22 02:22:10
119,7,"[71, 28, 30, 35, 27]",online,47.21,2023-04-24 04:18:35
120,19,"[89, 58, 32, 82]",online,38.13,2025-03-10 21:53:28
121,18,"[55, 78, 78, 22, 25]",card,40.25,2024-02-10 21:01:41
122,10,"[52, 32, 64]",online,28.3,2024-11-03 12:23:15
123,20,"[74, 28]",card,24.15,2023-10-03 07:44:15
124,18,"[42, 21, 37]",online,43.78,2024-06-18 02:45:21
125,12,[62],online,10.57,2023-08-27 23:17:07
126,17,"[81, 26, 74]",online,43.13,2023-11-19 19:58:54
127,3,"[43, 48, 69, 83, 84]",voucher,50.97,2025-01-02 00:18:31
128,17,"[54, 74, 32, 46]",cash,49.44,2025-04-02 12:44:26
129,18,"[78, 62, 34, 43]",voucher,56.12,2024-11-16 08:21:16
130,14,"[63, 46, 60]",cash,37.06,2024-02-08 21:23:06
131,11,"[42, 80, 23, 65]",card,20.84,2023-08-13 05:22:03
132,11,"[73, 49]",cash,9.86,2024-04-30 13:21:08
133,15,"[3, 56]",cash,9.56,2024-02-02 06:20:32
134,14,"[32, 86, 34, 61]",voucher,61.3,2023-06-23 17:31:03
135,14,"[86, 46, 31, 26]",card,51.97,2025-03-03 21:29:24
136,16,"[89, 41]",online,20.09,2023-07-25 08:08:26
137,13,"[26, 41, 47, 42, 86]",voucher,49.94,2024-04-06 17:44:11
138,20,[40],voucher,21.93,2024-05-08 02:23:39
139,20,"[32, 41, 27]",cash,30.22,2024-08-29 17:01:51
140,10,"[61, 78, 42, 20]",voucher,52.57,2024-04-02 04:04:14
141,15,"[89, 21, 22, 18, 33]",online,63.3,2024-08-07 10:18:28
142,12,"[44, 79, 58, 40]",online,68.93,2023-12-29 08:38:55
143,12,"[48, 65]",voucher,11.04,2023-07-19 16:47:02
144,14,"[51, 73, 42, 56, 73]",online,26.79,2023-07-20 14:28:22
145,9,"[28, 83, 53, 78, 31]",voucher,60.15,2024-04-16 05:15:11
146,12,"[90, 75, 24, 58, 33]",cash,53.44,2023-11-02 16:36:49
147,3,"[60, 71, 49, 58]",card,34.76,2024-10-07 06:50:05
148,12,"[29, 23, 66, 49, 88]",card,29.86,2023-07-10 02:26:10
149,14,[32],online,13.67,2023-09-20 03:15:28
150,12,"[25, 73]",online,7.06,2023-11-04 22:17:06
151,12,[34],voucher,17.07,2024-02-03 21:10:58
152,14,"[85, 41, 61]",card,36.05,2024-05-22 07:36:26
153,20,[51],online,7.88,2024-11-28 00:24:51
154,17,"[44, 71, 47, 31]",cash,62.86,2024-05-22 18:48:50
155,10,[35],voucher,10.46,2024-07-10 15:50:58
156,11,"[52, 25]",voucher,11.56,2023-11-30 19:34:01
157,8,[88],card,4.2,2025-04-21 06:02:44
158,12,[85],card,8.44,2023-06-11 05:48:25
159,20,"[29, 65, 69, 3]",card,23.56,2024-07-23 12:20:38
160,19,[34],card,17.07,2023-07-17 02:00:53
161,19,"[46, 41]",cash,21.48,2024-07-19 12:57:32
162,7,"[36, 84, 57, 29, 70]",online,51.25,2025-03-28 16:02:31
163,17,"[21, 80, 72, 89, 39]",cash,49.27,2023-10-02 20:08:01
164,8,"[33, 70, 86, 71, 44]",online,90.63,2024-08-30 02:47:51
165,9,"[56, 84, 23, 28]",card,29.51,2024-09-02 19:41:02
166,9,"[34, 44, 29]",cash,44.35,2023-05-02 04:21:30
167,19,"[43, 55, 55, 78, 86]",online,52.95,2023-09-13 21:16:34
168,15,"[49, 90]",voucher,17.09,2023-11-28 01:46:08
169,17,"[82, 25, 47, 61, 62]",cash,53.17,2025-02-24 14:30:13
170,13,"[20, 31]",online,32.59,2023-05-30 13:22:39
171,18,"[83, 71, 85, 45]",cash,46.88,2023-11-13 05:40:43
172,17,"[80, 78, 58, 58, 67]",cash,42.65,2023-10-09 02:24:16
173,7,"[34, 59, 23, 61, 3]",online,56.3,2024-03-15 03:07:31
174,19,"[53, 62]",card,24.16,2024-03-26 05:01:11
175,18,"[84, 88, 22, 30]",cash,29.59,2024-09-26 21:08:53
176,13,"[21, 34]",voucher,33.41,2024-04-13 11:08:07
177,8,"[23, 28, 62, 85, 81]",cash,55.1,2024-04-29 10:17:38
178,18,"[58, 42, 62, 28, 88]",cash,39.53,2024-11-20 01:07:20
179,17,"[31, 83, 55]",cash,31.71,2023-05-02 02:43:43
180,7,"[61, 30]",voucher,27.79,2024-04-30 08:38:59
181,17,[28],cash,11.09,2024-11-22 22:48:38
182,7,[80],online,2.24,2024-03-04 19:25:40
183,20,[43],online,18.23,2025-02-07 23:53:15
184,20,"[42, 38, 23, 29, 38]",card,55.16,2024-07-22 03:59:32
185,10,[61],voucher,19.07,2025-01-28 14:26:27
186,14,"[60, 36, 46]",cash,33.17,2023-06-13 21:02:31
187,3,"[88, 24, 51, 28]",card,29.86,2024-04-21 18:13:52
188,3,"[21, 31, 53, 76]",online,59.07,2024-11-09 16:11:56
189,19,"[90, 38, 78, 87, 68]",voucher,47.31,2024-06-15 03:05:25
190,12,"[57, 35]",card,19.27,2024-08-08 16:07:05
191,14,"[60, 78]",online,23.29,2025-03-07 06:59:17
192,12,"[78, 52, 66, 41]",cash,36.78,2024-11-06 05:28:28
193,8,[40],voucher,21.93,2023-05-27 10:18:41
194,10,"[77, 74, 23, 42]",online,43.57,2023-11-13 19:39:46
195,11,"[85, 36, 80]",cash,17.87,2024-07-16 00:21:31
196,19,[59],voucher,11.16,2025-04-19 05:35:52
197,8,"[84, 51, 82, 81, 27]",voucher,51.12,2024-01-16 11:15:51
198,3,"[79, 67, 75]",online,46.56,2025-01-27 05:29:00
199,14,"[20, 87, 23]",cash,23.58,2024-12-25 00:59:53
200,18,"[46, 78, 41]",cash,31.73,2024-11-17 13:16:58
201,8,[22],online,8.81,2024-12-13 00:03:35
202,9,"[25, 37, 82, 25]",voucher,35.58,2023-08-18 07:34:33
203,15,"[19, 67]",online,24.04,2024-08-24 19:12:26
204,20,"[89, 61]",voucher,30.62,2025-02-17 08:42:38
205,9,"[3, 37, 35, 50]",cash,39.7,2024-07-22 07:59:37
206,17,"[51, 27]",card,15.89,2023-09-29 07:56:12
207,3,"[26, 55, 44, 82]",card,48.68,2024-12-07 09:07:49
208,9,"[19, 19, 19, 52]",voucher,21.99,2024-07-18 22:40:58
209,19,"[79, 34, 88]",cash,37.98,2023-07-16 14:17:59
210,17,"[37, 40, 79, 3, 24]",online,68.64,2024-06-25 03:20:33
211,7,"[44, 50, 20, 21, 46]",online,75.08,2025-01-21 19:54:38
212,19,"[71, 51, 22]",card,25.62,2023-06-05 10:32:56
213,13,[60],cash,13.04,2024-12-30 05:26:30
214,8,"[88, 59, 66, 20, 61]",voucher,60.43,2023-11-10 17:13:42
215,19,"[29, 30, 39, 41, 52]",card,38.09,2025-04-01 10:56:20
216,13,"[73, 26, 26, 36]",online,29.94,2025-02-17 15:29:29
217,3,[64],cash,7.52,2024-12-18 23:46:19
218,19,"[67, 53, 30, 87, 83]",voucher,52.6,2023-09-28 15:09:33
219,20,[18],voucher,6,2023-10-14 03:18:27
220,8,"[87, 30, 9, 40]",online,44.11,2023-08-18 10:00:18
221,10,"[39, 47, 84, 87]",cash,34.22,2023-10-06 02:08:21
222,7,[29],online,2.53,2025-02-13 21:44:51
223,3,"[86, 82, 52, 56, 54]",voucher,41.3,2024-03-11 23:13:56
224,17,"[32, 47, 26, 40]",voucher,57.38,2023-12-16 14:13:26
225,16,"[69, 38, 82, 84, 37]",cash,65.85,2024-09-17 20:26:09
226,12,"[35, 21, 64, 85]",online,42.76,2024-02-06 23:04:44
227,17,"[35, 64]",online,17.98,2024-12-17 06:52:14
228,7,"[45, 19, 77, 90, 45]",cash,75.7,2023-06-03 23:24:08
229,11,"[59, 61, 21, 46]",voucher,59.51,2024-05-09 15:51:43
230,13,[32],cash,13.67,2023-11-25 15:37:02
231,14,"[71, 47, 79, 32]",card,51.02,2024-04-05 00:41:44
232,18,"[62, 40, 67]",online,51.58,2024-11-04 00:07:22
233,14,"[28, 50, 35, 26]",online,37.55,2024-11-15 07:21:35
234,20,"[9, 74, 23, 26]",cash,38.13,2024-05-13 15:58:24
235,16,"[58, 66]",online,16.42,2023-09-02 03:46:26
236,18,[42],online,8.13,2025-01-04 16:39:48
237,8,"[83, 84, 35, 58]",cash,31.61,2024-12-29 02:45:17
238,20,"[57, 19, 43, 25]",card,36.45,2024-12-20 07:50:05
239,20,"[46, 29, 47, 26]",cash,37.25,2025-04-15 17:11:06
240,16,"[30, 89]",voucher,20.27,2025-02-09 06:19:25
241,12,"[43, 32]",card,31.9,2023-11-04 10:52:15
242,12,"[81, 57, 39]",online,40.0,2024-12-16 21:30:04
243,18,"[44, 75, 79, 42, 23]",card,65.36,2024-06-14 17:02:25
244,16,"[90, 68]",card,13.85,2023-11-04 15:55:31
245,19,[28],cash,11.09,2024-10-30 18:30:24
246,18,"[62, 51, 78, 62, 42]",card,47.4,2023-05-25 22:20:40
247,15,"[33, 73, 3]",online,27.21,2024-05-28 10:12:46
248,10,"[88, 46, 82]",cash,24.51,2024-10-16 22:37:27
249,7,"[62, 52, 41, 23, 88]",cash,35.42,2024-01-30 19:14:26
250,3,"[65, 84]",online,13.33,2024-02-10 19:48:18
251,7,"[76, 34, 38]",cash,48.49,2023-12-12 23:40:58
252,12,[3],cash,4,2023-07-21 11:58:16
253,20,"[36, 81, 50, 29]",voucher,35.65,2024-05-11 16:35:32
254,20,[35],card,10.46,2025-01-19 15:07:59
255,18,"[36, 24, 21, 20]",card,45.34,2024-05-06 18:59:16
256,10,"[28, 82]",voucher,18.46,2024-10-04 11:43:51
257,8,"[79, 71, 35, 42, 74]",online,57.29,2024-04-04 04:54:03
258,18,[81],online,20.0,2023-06-20 09:26:51
259,20,"[85, 58, 90, 34, 39]",cash,52.08,2024-11-18 16:21:47
260,18,"[56, 58]",card,11.1,2023-08-30 13:25:36
261,19,"[9, 27, 9, 3, 25]",voucher,36.46,2023-11-05 04:22:20
262,13,"[21, 64, 76, 47]",card,47.24,2023-10-05 14:15:50
263,8,"[82, 89]",voucher,18.92,2023-09-18 22:30:14
264,15,"[66, 56, 36]",online,23.63,2025-02-12 19:15:16
265,14,[26],card,10.07,2024-04-22 18:52:12
266,15,"[78, 80, 81, 33]",card,53.09,2024-04-12 08:56:38
267,11,[39],cash,11.19,2023-08-22 18:23:05
268,16,"[20, 79, 39]",cash,43.02,2023-06-05 18:21:52
269,17,"[29, 63, 67]",online,32.69,2024-04-22 07:27:52
270,9,"[51, 77, 84, 61]",voucher,52.19,2023-10-16 08:01:30
271,3,[89],voucher,11.55,2024-10-27 22:35:16
272,20,[49],voucher,7.25,2023-06-07 22:38:41
273,9,"[62, 61, 67, 69]",online,60.28,2024-04-10 02:22:33
274,7,"[65, 40, 83, 24]",online,41.84,2024-01-13 23:05:39
275,16,"[45, 58]",voucher,27.3,2025-01-21 13:51:37
276,7,"[63, 62, 51]",online,29.53,2024-12-20 12:25:31
277,8,"[28, 59, 25, 73]",card,29.31,2023-11-09 06:54:23
278,15,[81],card,20.0,2024-12-03 14:54:17
279,17,[58],voucher,5.54,2023-08-09 11:29:54
280,19,"[27, 29, 89, 56, 89]",card,39.2,2024-06-20 07:26:51
281,12,"[49, 35]",online,17.71,2023-10-22 23:49:49
282,7,[59],card,11.16,2024-04-09 11:59:57
283,9,"[26, 46, 41, 23, 89]",cash,48.1,2024-11-17 21:48:23
284,15,"[28, 54, 68, 27]",cash,32.88,2024-02-06 10:42:18
285,14,"[84, 46]",online,20.8,2023-05-27 11:30:43
286,12,"[19, 31]",online,22.43,2023-12-03 03:50:19
287,14,[18],card,6,2024-12-11 02:28:43
288,18,"[68, 69, 66, 86, 84]",online,45.8,2024-10-18 20:24:54
289,16,"[74, 82]",card,20.43,2023-09-09 10:18:05
290,20,"[38, 25]",card,24.2,2024-06-20 07:01:48
291,19,"[43, 40, 24]",cash,46.85,2025-04-15 13:03:30
292,19,"[68, 66, 90, 26, 77]",voucher,52.18,2023-12-21 00:53:29
293,3,"[20, 40, 61, 52, 42]",online,71.36,2024-02-04 18:43:49
294,15,"[79, 43]",online,34.94,2023-07-16 11:39:43
295,12,"[30, 90]",card,18.56,2024-02-23 13:45:54
296,7,"[67, 73, 52, 65]",cash,34.27,2025-01-13 23:33:18
297,16,"[26, 80]",card,12.31,2024-10-15 19:09:29
298,11,[70],card,24.86,2024-06-03 10:45:57
299,10,"[44, 54, 25, 63, 23]",online,55.05,2025-01-18 09:28:36
300,14,"[82, 41, 38]",card,35.66,2025-04-01 09:05:28
301,18,[23],voucher,5.0,2023-09-17 10:35:27
302,17,"[48, 68, 48]",card,15.15,2024-04-27 13:38:02
303,18,"[87, 87, 84]",online,14.78,2024-02-16 20:44:59
304,18,"[21, 46, 29, 67, 60]",card,63.93,2023-06-29 12:30:11
305,9,[23],card,5.0,2023-08-07 17:49:18
306,8,"[24, 65, 23]",online,17.16,2025-01-07 04:34:16
307,18,"[70, 46, 59, 27, 64]",online,64.49,2025-01-06 23:27:25
308,18,"[88, 61, 74, 89]",card,47.88,2024-07-24 05:30:59
309,15,"[42, 9, 90]",cash,27.97,2025-01-02 12:42:48
310,10,"[87, 27, 88]",cash,15.67,2024-12-15 08:55:35
311,11,"[66, 60, 77, 27, 58]",card,54.85,2023-12-18 09:43:30
312,14,"[24, 86, 71, 18]",online,33.11,2024-11-28 12:57:02
313,12,"[35, 40, 80, 56, 80]",card,42.43,2025-02-02 10:36:35
314,10,"[28, 35]",online,21.55,2024-05-14 04:21:38
315,11,"[61, 70, 67]",cash,63.01,2025-03-29 10:24:12
316,18,"[89, 87, 43, 34]",cash,50.31,2023-08-08 10:54:03
317,18,[83],card,7.75,2023-08-18 17:10:39
318,19,"[66, 39, 43, 42]",card,48.43,2024-11-18 12:56:30
319,15,"[21, 90, 82]",card,33.55,2024-02-21 05:30:16
320,7,"[75, 70, 90, 89]",card,57.02,2024-05-04 13:37:17
321,12,"[40, 35, 89, 36]",cash,51.13,2024-10-20 01:47:41
322,3,"[57, 77]",cash,26.19,2023-09-10 04:24:12
323,18,"[83, 28]",voucher,18.84,2023-08-25 07:09:25
324,18,"[47, 69]",voucher,23.27,2025-04-07 05:16:05
325,12,"[88, 42]",online,12.33,2024-08-28 12:17:00
326,18,[54],cash,9.77,2025-04-10 10:18:04
327,9,"[34, 53, 64]",cash,38.18,2024-02-25 08:02:13
328,8,"[69, 55, 9, 42, 61]",voucher,55.25,2023-12-07 00:34:51
329,19,"[84, 32, 21, 58, 65]",voucher,48.88,2025-03-13 20:52:50
330,3,"[32, 64]",online,21.19,2024-12-14 07:47:23
331,20,"[78, 69, 73, 40, 35]",online,56.81,2023-08-28 22:56:13
332,17,"[70, 53, 87, 52]",card,49.02,2023-12-05 03:07:56
333,13,[62],cash,10.57,2025-02-15 11:14:26
334,13,[58],cash,5.54,2023-06-09 23:41:25
335,14,[43],voucher,18.23,2024-04-01 09:44:15
336,16,"[51, 72]",cash,15.83,2023-12-13 19:47:13
337,15,[53],card,13.59,2023-05-26 18:49:55
338,3,[60],card,13.04,2024-12-21 09:18:05
339,12,"[79, 87, 27, 83]",card,35.93,2023-05-04 11:40:30
340,7,"[37, 69]",cash,30.87,2024-04-05 04:50:03
341,7,"[50, 90, 55]",cash,22.26,2025-03-31 15:58:26
342,17,"[45, 71, 82, 87, 18]",cash,47.52,2023-09-22 23:29:45
343,13,"[66, 75]",voucher,21.65,2023-06-29 23:34:09
344,7,"[22, 64, 88, 61]",online,39.6,2024-05-04 22:17:31
345,18,"[90, 63, 73, 73]",cash,26.14,2025-03-31 20:49:18
346,20,"[78, 38]",cash,30.0,2023-09-14 02:06:54
347,10,"[33, 60, 30, 42, 46]",online,63.43,2023-06-02 10:34:02
348,19,"[20, 88, 43, 24, 37]",card,63.55,2023-05-02 12:03:33
349,11,"[22, 21, 37]",voucher,44.46,2023-08-06 15:11:30
350,9,"[73, 90, 63]",cash,23.53,2025-01-30 05:43:38
351,7,"[9, 47, 9, 38]",card,51.46,2023-06-02 00:11:01
352,18,"[77, 89, 89]",voucher,40.48,2023-06-15 11:36:02
353,17,"[84, 48, 35]",online,23.89,2023-09-03 18:33:12
354,16,"[26, 20]",voucher,25.19,2024-04-07 03:10:03
355,16,"[46, 53, 29]",online,29.06,2024-05-31 02:57:07
356,13,"[76, 27, 82, 32]",online,40.72,2023-07-20 03:02:40
357,12,[61],online,19.07,2023-12-14 18:20:20
358,9,"[9, 76, 59, 36, 68]",online,44.03,2024-02-25 07:26:37
359,15,"[54, 38, 48, 26]",voucher,45.16,2024-12-10 21:56:48
360,13,"[25, 29, 52, 61]",online,33.16,2025-02-05 07:02:56
361,13,"[57, 82, 78, 33, 18]",voucher,53.03,2024-02-23 02:40:25
362,11,"[86, 28, 25, 9]",card,37.03,2024-06-17 10:26:32
363,10,"[85, 59, 80]",cash,21.84,2023-12-29 19:50:56
364,9,"[51, 84]",voucher,15.74,2023-08-24 04:48:05
365,13,"[31, 3, 84]",voucher,29.33,2023-06-18 12:22:46
366,7,"[69, 38, 41, 49, 35]",cash,57.56,2024-12-16 03:12:08
367,19,"[44, 23, 23, 20]",card,49.87,2025-02-01 04:13:32
368,12,[23],online,5.0,2023-08-27 21:12:54
369,3,[52],cash,7.11,2024-12-07 04:31:10
370,18,"[85, 71]",card,17.37,2023-11-15 14:45:01
371,12,"[89, 61]",card,30.62,2024-12-31 09:18:09
372,17,[24],online,6.69,2025-03-01 17:51:22
373,14,"[89, 82]",cash,18.92,2024-07-31 13:10:54
374,18,"[27, 40, 63, 38, 50]",cash,66.7,2024-04-07 14:36:46
375,10,[45],card,21.76,2024-11-20 20:53:13
376,8,"[40, 59, 38]",voucher,52.84,2024-09-22 20:38:50
377,19,"[48, 53, 31, 56]",online,42.19,2024-07-14 18:27:36
378,3,"[54, 21, 75, 19, 85]",card,50.28,2024-04-12 01:29:11
379,12,"[19, 58, 31, 87]",card,31.43,2024-10-10 08:12:25
380,10,"[80, 19, 26, 70, 80]",card,44.37,2024-08-10 17:43:02
381,9,[9],online,10,2025-01-03 20:31:04
382,15,"[66, 39, 82, 86, 73]",card,43.54,2024-07-13 21:39:59
383,18,[48],online,5.57,2024-07-03 05:09:44
384,14,"[24, 21, 35]",voucher,33.49,2023-11-19 17:47:01
385,3,[60],online,13.04,2024-08-28 20:16:01
386,7,"[88, 59, 81, 37]",cash,54.67,2024-04-14 10:49:38
387,10,"[77, 81, 21, 79]",voucher,70.43,2024-08-23 23:13:33
388,3,[48],card,5.57,2023-11-11 03:54:10
389,15,"[68, 78, 29]",voucher,16.79,2025-01-03 22:56:21
390,20,"[29, 65]",card,8.0,2024-10-21 12:21:04
391,19,"[40, 66, 79, 88]",online,53.72,2023-06-20 23:42:27
392,17,[22],cash,8.81,2023-07-25 06:15:12
393,10,"[23, 32, 85]",cash,27.11,2024-01-11 11:35:15
394,12,"[70, 30, 85, 73, 64]",online,52.15,2023-10-02 13:28:11
395,3,"[65, 43, 90, 30, 26]",voucher,52.33,2023-11-02 09:53:42
396,11,[89],online,11.55,2024-01-19 21:31:35
397,10,"[64, 70]",cash,32.38,2023-05-29 09:19:27
398,9,"[39, 86, 31, 86, 48]",cash,57.21,2023-06-19 00:32:10
399,3,[58],card,5.54,2023-12-03 13:12:14
400,9,"[57, 20]",card,23.93,2025-02-10 06:06:37
401,18,"[37, 65, 56, 27]",online,38.35,2025-01-18 22:19:45
402,14,[32],card,13.67,2024-03-19 19:38:22
403,19,"[58, 57, 51, 87, 84]",card,33.55,2024-05-03 23:25:23
404,16,[74],cash,13.06,2024-01-10 13:08:42
405,17,[59],cash,11.16,2024-12-15 22:16:00
406,12,"[89, 9, 35, 3, 35]",card,46.47,2024-08-11 21:44:02
407,17,[31],card,17.47,2024-11-23 18:49:15
408,10,"[85, 47, 83]",voucher,27.9,2024-04-14 02:08:26
409,3,"[81, 40, 48, 72, 68]",voucher,59.46,2024-05-21 15:24:12
410,11,"[73, 32, 34, 88, 55]",online,44.04,2023-11-03 22:10:20
411,19,"[88, 9, 78, 49, 90]",online,41.54,2023-05-11 14:56:06
412,3,"[54, 20]",card,24.89,2024-10-07 15:04:57
413,14,"[34, 65, 68]",cash,26.55,2024-11-02 22:24:47
414,18,"[21, 74, 55, 83]",online,43.64,2024-07-30 15:08:29
415,18,"[24, 66, 80, 33]",online,40.41,2023-09-09 08:30:58
416,12,"[49, 56]",online,12.81,2025-01-13 09:40:33
417,19,[52],card,7.11,2023-07-10 01:46:51
418,19,[21],cash,16.34,2023-05-28 08:05:43
419,18,"[34, 68, 55, 38, 51]",card,55.2,2024-02-25 13:24:55
420,19,[9],card,10,2023-06-11 04:27:31
421,20,"[33, 73, 19, 86, 82]",voucher,47.03,2025-02-19 21:50:26
422,20,"[31, 33, 34, 87]",online,58.6,2024-07-10 01:37:13
423,3,"[25, 85, 67, 86, 66]",cash,54.34,2024-03-21 12:55:57
424,15,[71],cash,8.93,2023-12-22 09:54:36
425,8,"[45, 79]",voucher,38.47,2023-10-26 13:36:41
426,18,"[18, 64, 60, 38, 90]",online,56.15,2024-02-18 22:34:35
427,12,"[82, 47, 28]",cash,30.17,2024-02-02 15:47:55
428,14,"[70, 23, 76]",card,41.53,2024-09-12 15:23:00
429,18,"[36, 67]",voucher,26.27,2023-11-16 09:18:09
430,16,"[48, 64, 69, 27]",cash,32.66,2024-05-28 15:09:14
431,18,"[88, 68, 65, 34]",cash,30.75,2024-03-24 06:13:22
432,12,"[59, 59, 52, 42]",online,37.56,2025-04-19 00:43:12
433,9,"[38, 33, 76]",card,52.02,2024-11-08 16:58:24
434,11,[61],card,19.07,2023-12-22 22:16:15
435,9,"[28, 21, 83, 28]",voucher,46.27,2023-11-27 23:59:07
436,7,"[37, 19]",online,24.27,2024-06-26 15:47:50
437,18,"[57, 29, 22, 39, 77]",cash,48.72,2023-10-14 14:45:13
438,14,"[67, 32, 48, 19, 21]",voucher,59.62,2023-11-14 08:39:04
439,15,"[69, 22, 47]",voucher,32.08,2023-07-03 16:28:06
440,19,"[71, 64, 26, 69, 46]",voucher,51.02,2023-07-16 19:32:44
